trait_type,value,count,percent
background,purple,265,17.67
background,pink,260,17.33
background,night,260,17.33
background,hyperliquid,237,15.8
background,grey,229,15.27
background,yellow,229,15.27
body,track_suit_-_red,61,4.07
body,track_suit_-_yellow,60,4
body,turtleneck_-_maroon,55,3.67
body,pride_shirt,55,3.67
body,puffer_jacket_-_white,55,3.67
body,super,54,3.6
body,suit_-_navy,52,3.47
body,puffer_jacket_-_red,52,3.47
body,suit_-_black,51,3.4
body,polo_shirt_-_dark,50,3.33
body,safety,50,3.33
body,turtleneck_-_black,50,3.33
body,track_suit_-_green,49,3.27
body,polo_shirt_-_light,46,3.07
body,yellow_hoodie,42,2.8
body,pink_hoodie,42,2.8
body,puffer_jacket_-_purple,41,2.73
body,ski_jacket,41,2.73
body,denim_jacket,39,2.6
body,fast_food_worker_red,38,2.53
body,green_hoodie,38,2.53
body,leather_jacket,35,2.33
body,nasa,34,2.27
body,box,34,2.27
body,cop,33,2.2
body,black_hoodie,32,2.13
body,fast_food_worker_dark,32,2.13
body,bali_bike_driver,29,1.93
body,tanktop,29,1.93
body,pope,28,1.87
body,pinkguy,28,1.87
body,jersey,28,1.87
body,chest_lace,25,1.67
body,monkie,20,1.33
body,bhikku,20,1.33
body,fish_suit,17,1.13
body,banana,12,0.8
body,duckie,10,0.67
body,niqab,7,0.47
body,ninja,6,0.4
face,normal,122,8.13
face,sleep,114,7.6
face,possessed,113,7.53
face,sunglasses,104,6.93
face,neko,102,6.8
face,nerd,98,6.53
face,serious,97,6.47
face,yawn,89,5.93
face,monocle,88,5.87
face,rosa_visor,87,5.8
face,clown,86,5.73
face,airpod,67,4.47
face,degeneracy,67,4.47
face,kiiro_visor,62,4.13
face,black_eye_club,58,3.87
face,doja_visor,55,3.67
face,bearded,42,2.8
face,full_beard,29,1.93
head,straw_hat,61,4.07
head,traffic_cone,59,3.93
head,green_baseball_cap,55,3.67
head,fuego,53,3.53
head,comb-over,53,3.53
head,duck,52,3.47
head,shadow_crown,52,3.47
head,fast_food_worker_-_red,52,3.47
head,shithead,51,3.4
head,headband,51,3.4
head,broccoli,51,3.4
head,safety_helmet,49,3.27
head,mullet,49,3.27
head,stellar_strip_bandana,49,3.27
head,none,49,3.27
head,mohawk,48,3.2
head,red_baseball_cap,46,3.07
head,angel,42,2.8
head,satan_horn,42,2.8
head,duct-taped_banana,42,2.8
head,planthead,41,2.73
head,fast_food_worker_cap_-_black,41,2.73
head,cosmic_bandana,40,2.67
head,antenna,39,2.6
head,cop_cap,38,2.53
head,afro,36,2.4
head,the_trump,27,1.8
head,long_hair_-_black,26,1.73
head,blue_checkmark,26,1.73
head,arabian_scarf,25,1.67
head,long_hair_-_blonde,24,1.6
head,fiery_fringe,22,1.47
head,textured_quiff,18,1.2
head,side_part,18,1.2
type,female_-_white,195,13
type,male_-_white,188,12.53
type,male_-_black,178,11.87
type,female_-_black,175,11.67
type,male_-_yellow,174,11.6
type,female_-_yellow,166,11.07
type,male_-_simpson,109,7.27
type,female_-_simpson,107,7.13
type,male_-_alien,102,6.8
type,female_-_alien,86,5.73
type,adroable_filter,1,0.07
type,gandhi,1,0.07
type,holly_devil,1,0.07
type,master_yoga,1,0.07
type,mr_actually_white,1,0.07
type,of_girl,1,0.07
type,pepe,1,0.07
type,sidney_tweeny,1,0.07
type,tomoro,1,0.07
type,tma,1,0.07
type,crypto_gorilla,1,0.07
type,banana_cat,1,0.07
type,midnight_reaper,1,0.07
type,bin_ladeen,1,0.07
type,bing_chilling,1,0.07
type,black_in_man,1,0.07
type,captain_parodee,1,0.07
type,cheeses,1,0.07
type,emc2,1,0.07
type,eternal_artist,1,0.07
